chain_id,wallet_address,introduced_date,notes
solana-mainnet,CLGhNAi3rAmh72mySJ7A8ATyL3FrMwcD8nNMBrXGEcnq,2024-01-01,
solana-mainnet,94s7RB2QPD3t99iMR48XRATrm6oZCdfP8DvpA5adumLe,2024-01-01,
solana-mainnet,5MeYSygALv4VEVBYN1KTj9Ti7nbYzoyJFicyQdd6zEBw,2024-01-01,
solana-mainnet,HqwUoqzSBToKRrBKNW9wSq5sZPmaP5TFBCmTqyApEFjT,2024-01-01,
solana-mainnet,375cJDNB5C9djKaLhDsvd34Jfm8E1yvWCdRWj2cdgXXs,2024-01-01,
solana-mainnet,9WKVUMAoByQujQmkLYmHc7hqk4rpxF7T68gtYq1qyCvu,2024-01-01,
solana-mainnet,3fyLdEgomuUC9CZ4WcCdugXXxc3YFxWgXEK2pR1kXfcX,2024-01-01,
solana-mainnet,CZry88wjzZJvtv7nQwu62MaauTTB35zxrFYMFpVfWBdh,2024-01-01,
solana-mainnet,7cgg6KhPd1G8oaoB48RyPDWu7uZs51jUpDYB3eq4VebH,2024-01-01,
solana-mainnet,CMYm74nHVeYss5QiUKAjPVyWRsa7B8VpRFyeFwiSxc2,2024-01-01,
solana-mainnet,2NMcD7ymVKRufz1e5YBq1d7XTgGjMqKx5Jex9iA6SDbc,2024-01-01,
solana-mainnet,k79oih5jEaW4bjSQ7N2tnDMdhmpqWdpnUFEeHDU8Y6w,2024-01-01,
solana-mainnet,Cg7etmrezr2Gp2RRVdzZUXo7ovecJ4p1uzsrAezSuWxS,2024-01-01,
solana-mainnet,TYpUp9xn6GeRJK9DwcMhJPdhuoeqURAoe1mydF8LCw9,2024-01-01,
solana-mainnet,AJR87gagK2APRwm2oDqHQ4ydegcHFS3SRnT7Ldbh73DG,2024-01-01,
solana-mainnet,5cE93zejzWdP3RGbMBL3BmfQZV4HHmby9wXuwpNYaVHm,2024-01-01,
solana-mainnet,G6XfByTY6LyN1U1BYXLHLMVDhf48t1vHu5FpoePWK5Dn,2024-01-01,
solana-mainnet,CgE7VrFgVVDGf2G58bCGRg4RduVTTsiYzADYGnvym6U1,2024-01-01,
